window,L_plus,L_minus,rel_gap
0,2.22990609e-04,9.56455711e-04,3.289220
1,5.50277822e-04,2.02477654e-03,2.679553
2,1.07142027e-03,1.10004377e-03,0.026715
3,2.40212656e-04,2.58041942e-03,9.742229
4,2.34719148e-04,3.09909834e-03,12.203432
5,4.39256371e-04,4.59655508e-04,0.046440
6,1.98787049e-04,3.17358063e-04,0.596473
7,3.15677113e-04,5.46622649e-03,16.315878
8,5.58138452e-03,5.19654434e-03,0.074057
9,3.61319305e-03,3.46888788e-03,0.041600
10,4.89452970e-04,1.24275880e-02,24.390770
11,1.26664282e-03,1.87326444e-03,0.478921
