char,mean_w,std_w,t_stat,mean_abs_w,n_months
mom,-0.02788,0.09881,-3.386,0.07582,144
ag,-0.02870,0.11400,-3.021,0.09118,144
ac,-0.01665,0.09565,-2.089,0.07889,144
noa,-0.02672,0.11018,-2.910,0.08668,144
nsi,-0.00904,0.12275,-0.884,0.10008,144
gp,0.02139,0.13214,1.942,0.12061,144
cei,-0.02089,0.06956,-3.604,0.05804,144
ita,-0.00223,0.09826,-0.272,0.08232,144
ig,0.05761,0.05385,12.839,0.06307,144
dist,0.12649,0.06344,23.927,0.12649,144
oscore,0.13492,0.11218,14.432,0.14527,144
