pair,sharpe_sdf,sharpe_bench,diff,ci_lo,ci_hi,zero_excluded
E8 vs AE(1),0.6078,0.5731,0.0347,-0.1491,0.3088,0
E8 vs AE(3),0.6078,0.9384,-0.3306,-0.8719,0.1203,0
E8 vs AE(5),0.6078,0.7355,-0.1277,-1.0243,0.5742,0
