window,L_plus,L_minus,rel_gap
0,3.70347610e-04,3.94271308e-04,0.064598
1,5.40562556e-04,2.00077565e-03,2.701284
2,1.04314904e-03,1.16393610e-03,0.115791
3,6.87223917e-04,8.22817150e-04,0.197306
4,8.25299008e-04,8.66497227e-04,0.049919
5,4.35286725e-04,4.66159865e-04,0.070926
6,2.00408162e-04,2.96320475e-04,0.478585
7,3.09712603e-04,5.28794434e-03,16.073714
8,4.95967036e-03,5.78675559e-03,0.166762
9,3.38263763e-03,3.65772122e-03,0.081322
10,5.89645409e-04,8.49172100e-03,13.401403
11,1.36385404e-03,1.67132157e-03,0.225440
