window,alpha
0,0.03370487
0,0.07440555
0,0.06595396
0,0.03355659
0,-0.01774235
0,0.11699510
0,0.05648553
0,0.07738689
0,0.03707159
0,0.05745448
0,0.06900515
0,-0.00101264
0,0.02053768
0,0.01381202
0,0.07002830
0,0.00629628
0,0.01179958
0,0.06166156
0,0.06805386
0,0.00017059
0,0.11196934
0,0.05988778
0,0.07145185
0,0.11283088
0,0.02511744
0,0.08610702
0,0.02084937
0,0.07255226
0,0.00993166
0,0.00098530
0,-0.00232420
0,0.03481967
0,0.03927137
0,-0.00716764
0,0.00040178
0,0.05231579
0,0.03710327
0,0.06025259
0,-0.00287361
0,0.12446564
0,0.05072497
0,0.06987793
0,0.10934296
0,-0.01927026
0,0.02525087
0,0.01891287
0,0.04307160
0,0.04878077
0,0.06074614
0,0.05296339
0,0.06653281
0,-0.00706776
0,0.00612681
0,0.10914462
0,0.03090047
0,0.02860439
0,0.01898659
0,0.07762998
0,0.05217765
0,-0.01709748
0,0.06126788
0,0.01135176
0,0.04882716
0,0.03966706
0,-0.00781827
0,0.00161614
0,0.02795644
0,0.06766552
0,0.10884095
0,0.01375602
0,0.00545851
0,0.03521486
0,0.00473193
0,0.00427471
0,-0.01788877
0,0.04200980
0,0.06765670
0,0.08108425
0,0.03334717
0,-0.00906565
0,0.05362749
0,0.12412301
0,0.02415720
0,0.11912974
0,0.08124613
0,0.05761615
0,-0.01112706
0,0.00997053
0,0.00095814
0,0.10420927
0,0.01210294
0,-0.00717323
0,-0.03507784
0,0.05391284
0,-0.01160955
0,-0.00522153
0,0.00717396
0,0.05574010
0,-0.00360421
0,0.12575141
0,0.03200601
0,0.04059091
0,0.01849351
0,0.03568679
0,0.02997071
0,0.06690954
0,0.02554645
0,0.11437073
0,0.03126632
0,0.08158909
0,0.07725223
0,0.04635833
0,-0.01893387
0,0.00761782
0,0.01057260
0,0.04956119
0,-0.00666340
0,0.12099523
0,-0.01540688
0,0.07896952
0,0.04885047
0,0.09057519
0,0.13671783
0,0.08435629
0,0.06312453
0,0.05053849
0,-0.01236715
0,-0.02887832
0,0.00925300
0,0.05269060
0,0.06976768
0,0.03519251
0,0.03755538
0,0.02914701
0,0.04998604
0,0.03058257
0,0.07835430
0,-0.01723933
0,-0.00110970
0,-0.01519097
0,0.01739792
0,0.06463387
0,-0.02128248
0,-0.01917312
0,0.01741776
0,0.04993681
0,-0.01915084
0,0.01171774
0,0.02858302
0,0.02326746
0,0.03120586
0,-0.00567178
0,0.04524724
0,0.04859753
0,0.00813794
0,-0.01131813
0,0.02733952
0,0.07994083
0,0.03624702
0,-0.03206772
0,0.02596640
0,0.06025559
0,-0.04530426
0,0.03857648
0,0.01579517
0,0.11564326
0,0.04230510
0,0.04996450
0,-0.05540772
0,0.00710473
0,-0.02480929
0,-0.02752622
0,-0.00986501
0,0.03456190
0,0.05426231
0,0.00192688
0,0.03093602
0,0.02032358
0,-0.03178580
0,0.03195514
0,0.04948448
0,0.05147951
0,-0.01451879
0,0.00474373
0,0.10239624
0,0.10584535
0,-0.02081951
0,-0.04043835
0,0.04519799
0,-0.03028922
0,-0.00051413
0,0.00319000
0,0.01111181
0,0.04853769
0,0.08451938
0,0.05822818
0,0.00603000
0,-0.00564098
0,0.05769199
0,-0.02359621
0,0.07285498
0,-0.01173238
0,-0.01916896
0,0.01322696
0,0.03259457
0,0.02768576
0,0.00555076
0,-0.01806056
0,0.00434760
0,0.09104461
0,0.02677438
0,0.00130613
0,-0.00533979
0,-0.00108139
0,-0.00751180
0,0.04325423
0,0.04560773
0,-0.00033123
0,0.03436429
0,0.03544270
0,0.02993031
0,0.10417247
0,0.04921702
0,0.02170412
0,0.03422596
0,0.05058970
0,0.10694021
0,0.02211438
0,-0.00585192
0,0.09990606
0,0.03284744
0,0.19731879
0,0.04613576
0,0.07574145
0,-0.00853997
0,-0.00434343
0,0.00876717
1,-0.01268717
1,-0.00537823
1,-0.00882250
1,0.02686627
1,0.05111312
1,0.05457345
1,-0.00851400
1,0.00243707
1,0.00150138
1,0.14127873
1,-0.00833686
1,-0.01979362
1,0.03380032
1,0.04201685
1,0.00027971
1,0.02464422
1,-0.01890237
1,0.00250301
1,0.02836323
1,-0.01024598
1,-0.01347103
1,0.01679544
1,-0.02085841
1,0.05339032
1,-0.05641240
1,0.00112151
1,0.06640175
1,0.01030344
1,0.05311729
1,-0.03712917
1,0.12095860
1,0.00025993
1,-0.02229418
1,0.04114234
1,0.07703778
1,-0.01144134
1,-0.00723396
1,-0.01875864
1,0.06161913
1,-0.02842156
1,-0.02041729
1,-0.06384484
1,-0.02509104
1,-0.00292580
1,0.02989825
1,0.03612937
1,0.07521291
1,0.10052529
1,-0.00322201
1,0.02006154
1,0.08941271
1,-0.01333030
1,0.04017781
1,-0.05675055
1,0.08797274
1,0.02052880
1,0.08398331
1,0.02206289
1,0.07653456
1,0.00716528
1,0.05606174
1,0.02849052
1,0.02406378
1,-0.01705752
1,0.00130509
1,-0.00452659
1,-0.01193724
1,-0.00870763
1,0.00869649
1,-0.01083263
1,-0.00133072
1,-0.01659005
1,0.02861697
1,-0.02147293
1,0.07335769
1,0.03037427
1,-0.03378113
1,0.03230659
1,0.09773213
1,0.02785031
1,-0.00533987
1,-0.01443036
1,0.01045331
1,-0.02153214
1,0.01889619
1,-0.01312717
1,0.02210764
1,0.02149561
1,-0.02107488
1,-0.07715488
1,-0.00483190
1,0.03609629
1,-0.00565377
1,0.05044749
1,-0.01023591
1,-0.01232423
1,0.09432750
1,0.00292316
1,0.01160131
1,-0.01079756
1,0.04238459
1,-0.04801735
1,-0.01119768
1,0.01708879
1,-0.02746255
1,0.00865652
1,0.07594246
1,0.00776952
1,0.00472730
1,0.04695797
1,0.09982515
1,0.02905027
1,-0.00698766
1,0.04450087
1,-0.02058799
1,-0.00134649
1,0.00118096
1,0.08689982
1,0.02457103
1,0.07101461
1,0.02346868
1,0.01557755
1,0.01622113
1,-0.00650933
1,0.01078252
1,0.03897391
1,0.01863509
1,0.00708515
1,-0.00034802
1,0.00554301
1,0.07379010
1,0.00160771
1,-0.00926903
1,0.05253493
1,0.04666923
1,0.01176754
1,-0.00259219
1,0.03670296
1,-0.04339269
1,0.06867721
1,-0.00205133
1,0.01530662
1,0.03935134
1,-0.01691452
1,0.05409394
1,0.01580469
1,0.06713119
1,-0.01239186
1,-0.01345419
1,0.04392057
1,-0.00918085
1,-0.01159051
1,-0.01801790
1,0.07854263
1,0.10102355
1,-0.02212187
1,0.07634129
1,-0.00499340
1,0.04589273
1,-0.00352892
1,0.01020499
1,0.01854725
1,0.02686583
1,-0.03003052
1,-0.01726693
1,-0.00125533
1,0.03845502
1,-0.00810485
1,-0.06421263
1,-0.05290018
1,-0.01011342
1,0.03460357
1,-0.02102537
1,-0.01993694
1,0.04600858
1,0.03557798
1,0.04456370
1,-0.00581861
1,0.02256925
1,0.02917880
1,-0.00350066
1,0.09727538
1,-0.01393591
1,0.00105718
1,0.02544330
1,0.07586780
1,0.01261127
1,-0.02347465
1,-0.00287684
1,0.06339771
1,-0.00494454
1,-0.01705934
1,0.01319506
1,0.00770274
1,0.02621176
1,-0.02419915
1,-0.02527344
1,-0.04221886
1,0.00869817
1,-0.02092331
1,-0.04072376
1,0.00123841
1,-0.04419615
1,-0.02452903
1,-0.00214628
1,-0.01382194
1,0.00974233
1,0.03556791
1,0.01149941
1,0.04064598
1,0.01860257
1,-0.02421358
1,-0.01416948
1,-0.00473038
1,-0.00351670
1,-0.00980249
1,-0.03765230
1,0.12351900
1,0.12071197
1,0.07742804
1,-0.01489371
1,0.08204992
1,0.00427843
1,0.03368254
1,0.08351377
1,0.05564671
1,0.17046016
1,0.00923127
1,-0.01106474
1,0.01217864
1,0.00908906
1,0.03916025
1,0.15812171
1,0.01039371
1,0.05779731
1,-0.04670554
1,0.00015769
1,0.06561274
1,0.01598657
1,0.02345783
1,-0.02162382
1,0.06098899
1,0.01653844
1,-0.02017394
2,-0.00321163
2,-0.03043065
2,-0.03126349
2,-0.01275681
2,-0.02162543
2,0.04140644
2,-0.04941081
2,0.02638244
2,-0.04807973
2,-0.00194526
2,-0.02302198
2,0.02418170
2,-0.00756169
2,-0.04320897
2,-0.06467400
2,0.00114668
2,-0.01771124
2,-0.07149566
2,-0.01415399
2,-0.06069667
2,-0.02679949
2,-0.00709060
2,-0.02902542
2,-0.02228977
2,-0.04738982
2,0.01192706
2,0.02016885
2,-0.08941370
2,-0.02267836
2,-0.02154871
2,-0.04826687
2,-0.02104785
2,-0.02388129
2,-0.02614244
2,-0.00111662
2,-0.05057793
2,-0.01199963
2,-0.01040250
2,-0.04151721
2,-0.01233200
2,0.01828684
2,-0.00962689
2,-0.01907923
2,-0.05294518
2,-0.00244015
2,-0.04057563
2,-0.03398399
2,-0.03505888
2,-0.03116784
2,-0.03314291
2,-0.01482247
2,-0.03955561
2,-0.05079438
2,-0.03187833
2,-0.02333055
2,0.01056369
2,0.02314870
2,-0.05671151
2,-0.05309041
2,-0.02364714
2,-0.03651865
2,0.00622712
2,-0.04192117
2,-0.02332280
2,0.00156096
2,0.01611250
2,-0.03763130
2,0.01674318
2,-0.01431502
2,-0.04382519
2,-0.01542293
2,-0.00682322
2,-0.07172856
2,-0.02904215
2,0.03602142
2,0.01071148
2,-0.02112945
2,-0.01903936
2,-0.03112655
2,-0.04901773
2,-0.06632984
2,-0.04015565
2,-0.02519788
2,-0.02532214
2,-0.03780337
2,-0.02884945
2,-0.02112046
2,-0.02018289
2,0.01710413
2,-0.02295828
2,-0.00196661
2,-0.00315652
2,-0.01961198
2,-0.03694402
2,-0.04385652
2,-0.01232837
2,0.00358805
2,-0.02133597
2,-0.00781982
2,0.02432747
2,-0.01958396
2,-0.01990499
2,-0.01561306
2,-0.01793726
2,-0.04452320
2,-0.01448099
2,-0.02861881
2,-0.06265700
2,-0.05184099
2,0.01014452
2,-0.02616627
2,-0.04121009
2,-0.04085374
2,-0.01832206
2,-0.01606163
2,0.02537232
2,-0.02774203
2,-0.04848368
2,0.00009397
2,-0.00618025
2,-0.00301881
2,-0.03688503
2,-0.04661063
2,-0.02079835
2,-0.00067783
2,-0.05004574
2,0.03624398
2,-0.02128949
2,-0.02720942
2,-0.02627978
2,-0.02035992
2,-0.01567160
2,0.07150942
2,-0.04347040
2,-0.10254535
2,0.02115562
2,0.02293943
2,-0.01586232
2,-0.01897286
2,-0.02614308
2,-0.01115468
2,-0.01903062
2,-0.02712405
2,-0.02855231
2,-0.02557530
2,-0.01123170
2,-0.02234743
2,-0.03316520
2,-0.06968666
2,0.00070102
2,-0.01405377
2,-0.03801828
2,-0.02593459
2,-0.00767688
2,-0.01820175
2,-0.04982677
2,0.04602647
2,-0.01410890
2,-0.02782292
2,-0.05171211
2,-0.04136087
2,-0.01847973
2,-0.03258661
2,-0.02216668
2,-0.00606910
2,-0.01171315
2,-0.04195052
2,-0.00540230
2,-0.01872848
2,-0.03464421
2,-0.01679953
2,-0.04005549
2,0.02128568
2,-0.00979039
2,-0.02178896
2,-0.02039831
2,-0.01861048
2,-0.02206118
2,-0.01808689
2,0.06157436
2,-0.00121589
2,-0.00815571
2,-0.02598154
2,-0.01074581
2,-0.03288610
2,0.01366175
2,-0.02100902
2,-0.01875031
2,-0.00371927
2,-0.01301906
2,-0.04144088
2,-0.04845790
2,-0.00133936
2,-0.02615645
2,-0.02987478
2,0.05057757
2,0.01258136
2,-0.00463845
2,0.02229158
2,-0.01079027
2,-0.05946399
2,-0.04207018
2,-0.01926208
2,-0.04924230
2,0.02600229
2,0.02011204
2,-0.01928469
2,-0.01338033
2,-0.05255597
2,-0.00665410
2,0.01464197
2,0.00431300
2,-0.01314028
2,-0.00764366
2,0.02696070
2,-0.01791495
2,-0.01120999
2,-0.02923382
2,-0.02126220
2,0.00553063
2,-0.02590775
2,-0.01816088
2,-0.06406444
2,-0.00456192
2,-0.06806144
2,-0.03033508
2,-0.02719709
2,-0.03638819
2,0.00344670
2,-0.04352524
2,0.01501464
2,-0.02007422
2,-0.02646562
2,-0.01370858
2,-0.01819862
2,-0.05249681
2,-0.02688193
2,-0.03449025
2,-0.02717911
2,-0.00950259
2,-0.02457960
2,0.01635101
2,-0.05184112
2,-0.04140314
2,-0.07106457
2,-0.01901693
2,-0.00963278
2,0.01709123
2,-0.02958494
3,0.03763958
3,-0.05462383
3,-0.00403344
3,0.01477934
3,-0.02686300
3,-0.05810035
3,0.02554733
3,-0.04009549
3,-0.03555993
3,-0.01433412
3,-0.02777977
3,-0.01743212
3,-0.03836449
3,-0.04821733
3,-0.01072772
3,-0.03129187
3,-0.07638960
3,0.00298376
3,-0.05717854
3,-0.03328770
3,0.04666760
3,0.02971306
3,-0.03413484
3,-0.03998652
3,-0.04159733
3,-0.03743097
3,-0.01886689
3,-0.04315295
3,-0.00451502
3,-0.01368586
3,-0.01595362
3,-0.04073435
3,-0.04543131
3,-0.03073628
3,-0.04134015
3,0.00540370
3,0.02905045
3,-0.02940162
3,-0.07749595
3,-0.07788867
3,-0.01796717
3,-0.00492969
3,-0.05287765
3,-0.03676918
3,-0.02831523
3,-0.03630795
3,-0.05404322
3,-0.02378595
3,-0.05861959
3,0.08875609
3,-0.01094441
3,-0.03707019
3,-0.04858309
3,-0.00441384
3,-0.02978634
3,-0.01501140
3,0.03326095
3,-0.03506400
3,-0.07026624
3,-0.01769286
3,0.01646355
3,0.00055331
3,-0.04119761
3,-0.00535500
3,0.01473924
3,-0.03817438
3,-0.03734905
3,-0.02832037
3,-0.02992275
3,-0.04142584
3,-0.02291100
3,-0.00422347
3,0.01412371
3,-0.02692205
3,-0.00154053
3,-0.04838858
3,-0.02243373
3,-0.04028147
3,-0.02110905
3,-0.05829493
3,-0.04961348
3,-0.02548782
3,-0.07236146
3,-0.04715966
3,0.00751972
3,-0.05787003
3,-0.03466836
3,0.00080214
3,-0.01490759
3,-0.02688540
3,-0.04259938
3,-0.03957280
3,-0.00395251
3,-0.05736358
3,-0.02626642
3,0.01250124
3,-0.02216463
3,-0.07044701
3,-0.05854668
3,-0.03740876
3,-0.01808169
3,-0.02128641
3,0.00670391
3,-0.03439115
3,-0.01635656
3,0.16025566
3,-0.00379789
3,-0.01965106
3,0.07079861
3,-0.00333559
3,0.02864314
3,-0.03035027
3,-0.02045615
3,-0.01571741
3,-0.03992498
