S,sharpe_pooled,rms_alpha_pct,max_alpha_pct,ev
3,-0.188783,5.398978,35.776918,0.197731
5,-0.339719,5.367301,34.907785,0.234286
10,0.366524,5.409964,36.965416,0.235226
13,0.310441,5.375610,35.522091,0.236469
