window,L_plus,L_minus,rel_gap
0,2.32054386e-04,8.94868048e-04,2.856286
1,5.31493162e-04,2.02570227e-03,2.811342
2,1.09088852e-03,1.11410732e-03,0.021284
3,2.43280912e-04,2.56473105e-03,9.542262
4,2.27320415e-04,3.06444988e-03,12.480751
5,4.30037006e-04,4.71834763e-04,0.097196
6,2.00768234e-04,3.06016358e-04,0.524227
7,2.99648062e-04,5.17410180e-03,16.267263
8,5.22438018e-03,5.50723821e-03,0.054142
9,2.92929332e-03,4.17035492e-03,0.423673
10,4.82908392e-04,1.25434557e-02,24.974814
11,1.52956229e-03,1.49520300e-03,0.022980
