window,L_plus,L_minus,rel_gap
0,2.40017573e-04,9.05343622e-04,2.771989
1,5.66907169e-04,1.99243729e-03,2.514574
2,1.09450985e-03,1.07688073e-03,0.016371
3,2.44061521e-04,2.51768250e-03,9.315770
4,2.40060865e-04,3.04135098e-03,11.669083
5,4.46949067e-04,4.51741798e-04,0.010723
6,1.98360765e-04,3.24123277e-04,0.634009
7,3.09442345e-04,5.37785934e-03,16.379197
8,5.60726784e-03,5.17167803e-03,0.084226
9,3.06791649e-03,4.05246485e-03,0.320918
10,4.64505138e-04,1.10950936e-02,22.885836
11,1.67585188e-03,1.43066922e-03,0.171376
