window,L_plus,L_minus,rel_gap
0,2.38729568e-04,8.74497578e-04,2.663131
1,5.23733383e-04,2.04580813e-03,2.906202
2,1.11444900e-03,1.09055580e-03,0.021909
3,2.40033332e-04,2.58567347e-03,9.772143
4,2.34856518e-04,3.05758952e-03,12.018968
5,4.62968397e-04,4.38292976e-04,0.056299
6,1.99927323e-04,3.09035328e-04,0.545738
7,3.06569331e-04,5.23832394e-03,16.086914
8,4.39352961e-03,6.43888954e-03,0.465539
9,3.99015518e-03,3.08068004e-03,0.295219
10,4.76806745e-04,1.25206280e-02,25.259335
11,1.58465176e-03,1.44220353e-03,0.098771
