window,L_plus,L_minus,rel_gap
0,2.46659154e-04,8.84261739e-04,2.584954
1,5.80767693e-04,1.95803843e-03,2.371466
2,1.07685337e-03,1.09453988e-03,0.016424
3,2.45881412e-04,2.55634100e-03,9.396642
4,2.42430091e-04,3.07110185e-03,11.667990
5,4.35108028e-04,4.64043202e-04,0.066501
6,1.98747366e-04,3.20802734e-04,0.614123
7,3.09746363e-04,5.38194086e-03,16.375316
8,5.78271737e-03,5.00630541e-03,0.155087
9,3.32369911e-03,3.76535952e-03,0.132882
10,5.06406999e-04,1.27884373e-02,24.253279
11,1.49310380e-03,1.60844554e-03,0.077250
