ticker,year,month,ret_monthly,size,st_rev,turnover,vol,bm,mom,roe,ag,ac,noa,nsi,gp,cei,ita,dist,oscore,investment,cbop,dy
AABS,2014,1,0.0,-0.25670399401295557,,-0.5475856244375941,,,,,,,0.06273917426324709,,-0.2520064170047379,,,,0.21105177951468299,,,
ABOT,2014,1,-0.008894536213468918,1.2096916337471457,,-0.5433062740868191,,,,0.5200663333279008,,,-1.074979086759027,,2.1432940189820564,,,,-1.2809671963273292,,,
ACPL,2014,1,-0.011498282268807336,0.8911186466397143,,-0.43407245721448695,,,,0.4329144698273745,,,-0.2706529906804732,,0.579357055850577,,,,-0.9887960226316439,,,
ADAMS,2014,1,-0.18980708897937382,-0.6886682808624233,,-0.3720924057039108,,,,-0.1924039889470296,,,-0.6845306577805762,,,,,,1.0192316505348908,,,
ADMM,2014,1,0.4472514916846515,0.5599020753488282,,-0.4644109791096272,,,,,,,,,,,,,,,,
ADOS,2014,1,-0.08658246384770285,,,,,,,0.8171150695996939,,,-1.001130532689279,,0.4656242924991245,,,,0.7098529696122821,,,
AGIL,2014,1,-0.010657193605683735,-0.0166310981727026,,-0.5120456588042901,,,,,,,,,,,,,,,,
AGL,2014,1,0.04183109707971577,0.46997353338859055,,-0.5765410876366628,,,,,,,,,,,,,,,,
AGSML,2014,1,0.15068493150684947,-0.6927457258830957,,-0.5823086986110997,,,,,,,,,,,,,,,,
AGTL,2014,1,-0.03963658616956178,0.6589829869637989,,-0.5706000446535248,,,,,,,0.3188808171917029,,0.9032957520561813,,,,,,,
AHCL,2014,1,0.05033707865168546,1.655280327794188,,-0.55490287074864,,,,-0.4836436971760454,,,0.4780570945936369,,,,,,,,,
AHTM,2014,1,0.2159638554216865,-1.005668320702093,,-0.5614340106864282,,,,,,,,,,,,,,,,
AKGL,2014,1,0.3458401305057097,-1.3486434669192249,,-0.5004774785696164,,,,,,,,,,,,,,,,
AKZO,2014,1,0.02125270671264734,0.3334677628130683,,0.03071357824113387,,,,,,,,,,,,,,,,
ALNRS,2014,1,-0.015444015444015413,-0.5861653446917464,,-0.5438065778490775,,,,,,,,,,,,,,,,
ALTN,2014,1,-0.022831050228310557,0.46208983733110176,,-0.5861044646895275,,,,,,,,,,,,,,,,
AMTEX,2014,1,0.37869822485207116,-0.4124694163437741,,2.107092276898845,,,,,,,,,,,,,,,,
ANL,2014,1,0.37815126050420167,0.23896941056015567,,5.247937870626628,,,,,,,,,,,,,,,,
ANSM,2014,1,1.7104072398190042,-0.25750385016175803,,-0.5222424293162785,,,,,,,,,,,,,,,,
APL,2014,1,0.06482018851688065,1.4683147956045663,,-0.46016067182567827,,,,,,,0.8661497752606889,,-0.36239647410800935,,,,,,,
ARPL,2014,1,0.3627770776188006,0.6928287458610143,,0.18384080135875416,,,,,,,,,,,,,,,,
ARUJ,2014,1,0.06237558062375581,-1.3413418255182452,,-0.39365286378429704,,,,,,,,,,,,,,,,
ASHT,2014,1,0.09375,-0.5978048349869608,,-0.5797465343962535,,,,,,,,,,,,,,,,
ASL,2014,1,0.013844515441959526,0.5234449287008011,,-0.5332102363167296,,,,,,,-2.7426741980376357,,,,,,,,,
ASTM,2014,1,0.08742268041237122,-0.931892060852889,,-0.4744482806011578,,,,,,,,,,,,,,,,
