symbol,year,field,our_normalized,external,ratio,level,source
IGIHL,2025,TA,18856461.0,148504704.0,0.127,WARN,sarmaaya
IGIHL,2025,TL,2136187.0,40583581.0,0.053,MISMATCH,sarmaaya
HUBC,2024,TA,157390026.0,452804419.0,0.348,WARN,sarmaaya
HUBC,2024,TL,83577245.0,242831941.0,0.344,WARN,sarmaaya
HUBC,2024,CA,88481020.0,171319381.0,0.516,loose,sarmaaya
SEPL,2023,Sales,5794593,5794593.0,1.000,EXACT,dps
SEPL,2023,PAT,967380,967380.0,1.000,EXACT,dps
NCPL,2024,Sales,15215087,15215087.0,1.000,EXACT,dps
NCPL,2024,PAT,3956563.0,3956563.0,1.000,EXACT,dps
NCPL,2024,TA,31986689,31986689.0,1.000,EXACT,sarmaaya
NCPL,2024,TL,2812320.0,2812320.0,1.000,EXACT,sarmaaya
NCPL,2024,Eq,29174369.0,29174369.0,1.000,EXACT,sarmaaya
NCPL,2024,CA,22866471,22866471.0,1.000,EXACT,sarmaaya
LOTCHEM,2022,Sales,100265555,100265555.0,1.000,EXACT,dps
LOTCHEM,2022,PAT,10118471,10118471.0,1.000,EXACT,dps
EFUL,2024,TA,259439229,259439229.0,1.000,EXACT,sarmaaya
EFUL,2024,TL,250246805,250246805.0,1.000,EXACT,sarmaaya
EFUL,2024,Eq,9192424,9192424.0,1.000,EXACT,sarmaaya
PSEL,2023,Sales,13262037,13262037.0,1.000,EXACT,dps
PSEL,2023,PAT,609159.0,609159.0,1.000,EXACT,dps
PSEL,2023,Eq,44939246,42589482.0,1.055,EXACT,sarmaaya
PSEL,2023,CA,15606574.0,15606574.0,1.000,EXACT,sarmaaya
CEPB,2023,Sales,47661248,47661248.0,1.000,EXACT,dps
CEPB,2023,PAT,2211921.0,2211921.0,1.000,EXACT,dps
IDYM,2025,Sales,66236197,66236197.0,1.000,EXACT,dps
IDYM,2025,PAT,475330,475330.0,1.000,EXACT,dps
IDYM,2025,TA,49159864,93829370.0,0.524,loose,sarmaaya
IDYM,2025,TL,24845329,60985230.0,0.407,loose,sarmaaya
IDYM,2025,Eq,24314535,32509722.0,0.748,loose,sarmaaya
IDYM,2025,CA,29454212,50615129.0,0.582,loose,sarmaaya
IDYM,2025,Sales,66236197,106653155.0,0.621,loose,sarmaaya
IDYM,2025,COGS,-62625354,99128203.0,0.632,loose,sarmaaya
IDYM,2025,PAT,475330,575347.0,0.826,tight,sarmaaya
GOC,2025,Sales,472315.817,472315.0,1.000,EXACT,dps
GOC,2025,PAT,25831.843,25832.0,1.000,EXACT,dps
GOC,2025,TA,769861.285,769861.0,1.000,EXACT,sarmaaya
GOC,2025,TL,92591.617,92592.0,1.000,EXACT,sarmaaya
GOC,2025,Eq,677269.668,677270.0,1.000,EXACT,sarmaaya
GOC,2025,CA,587428.326,587428.0,1.000,EXACT,sarmaaya
GOC,2025,Sales,472315.817,472316.0,1.000,EXACT,sarmaaya
GOC,2025,COGS,-309259.661,318796.0,0.970,EXACT,sarmaaya
GOC,2025,PAT,25831.843,25832.0,1.000,EXACT,sarmaaya
IMAGE,2024,PAT,285945.0,285945.0,1.000,EXACT,dps
ICI,2019,PAT,2304912,2304912.0,1.000,EXACT,dps
BGL,2024,Sales,161345,161345.0,1.000,EXACT,dps
BGL,2024,TA,4426333,4426333.0,1.000,EXACT,sarmaaya
BGL,2024,CA,868675,868675.0,1.000,EXACT,sarmaaya
FTMM,2025,Sales,3793472,3793472.0,1.000,EXACT,dps
FTMM,2025,PAT,117463,117463.0,1.000,EXACT,dps
IBFL,2025,CA,124904000.0,55395264.0,2.255,loose,sarmaaya
