level,symbol,year,month,defect_type,missing_fields,detail
HOLE,ECOP,2016,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,EFERT,2023,,no_financial_row,ALL_FINANCIALS,span 2013-2025
HOLE,EFERT,2024,,no_financial_row,ALL_FINANCIALS,span 2013-2025
HOLE,EXIDE,2018,,no_financial_row,ALL_FINANCIALS,span 2014-2026
HOLE,FCCL,2016,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,FECTC,2014,,no_financial_row,ALL_FINANCIALS,span 2013-2025
HOLE,FEROZ,2016,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,FFBL,2017,,no_financial_row,ALL_FINANCIALS,span 2013-2023
HOLE,FFL,2017,,no_financial_row,ALL_FINANCIALS,span 2013-2025
HOLE,FLYNG,2019,,no_financial_row,ALL_FINANCIALS,span 2014-2024
HOLE,FRCL,2016,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,FRCL,2017,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,FRCL,2018,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,FRSM,2017,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,FZCM,2016,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,GAIL,2016,,no_financial_row,ALL_FINANCIALS,span 2014-2020
HOLE,GAMON,2017,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,GATI,2016,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,GGGL,2016,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,GGL,2022,,no_financial_row,ALL_FINANCIALS,span 2013-2025
HOLE,GHGL,2016,,no_financial_row,ALL_FINANCIALS,span 2015-2025
HOLE,GHGL,2017,,no_financial_row,ALL_FINANCIALS,span 2015-2025
HOLE,GHNL,2017,,no_financial_row,ALL_FINANCIALS,span 2013-2022
HOLE,GOC,2015,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,GOC,2016,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,GVGL,2016,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,GWLC,2016,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,HAEL,2016,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,HAEL,2020,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,HAFL,2016,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,HASCOL,2016,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,HASCOL,2017,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,HASCOL,2023,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,HINO,2018,,no_financial_row,ALL_FINANCIALS,span 2013-2026
HOLE,HINO,2020,,no_financial_row,ALL_FINANCIALS,span 2013-2026
HOLE,HIRAT,2016,,no_financial_row,ALL_FINANCIALS,span 2014-2024
HOLE,HIRAT,2022,,no_financial_row,ALL_FINANCIALS,span 2014-2024
HOLE,HSPI,2015,,no_financial_row,ALL_FINANCIALS,span 2013-2023
HOLE,HSPI,2016,,no_financial_row,ALL_FINANCIALS,span 2013-2023
