model,E5A
arch,cpz
charset,sy
states,lstm
critic,True
n_features,10
n_windows,5
n_oos_months,60
sharpe_pooled,-0.1193
sharpe_mean_win,-0.3774
ev,0.1898
rms_alpha_pct,4.7205
max_alpha_pct,23.1316
critic_alpha_pct,0.5708
