window,L_plus,L_minus,rel_gap
0,4.30546672e-04,4.32274217e-04,0.004012
1,3.58562509e-04,3.57275130e-04,0.003603
2,1.21593788e-04,6.03134918e-04,3.960244
3,3.47395806e-04,3.49568203e-04,0.006253
4,2.40498644e-04,2.40538444e-04,0.000165
5,2.85274058e-04,4.08984517e-04,0.433655
