window,L_plus,L_minus,rel_gap
1,2.77085812e-03,2.85072275e-03,0.028823
2,5.65302558e-04,5.86299167e-04,0.037142
3,4.95776243e-04,5.03024145e-04,0.014619
4,2.46221345e-04,2.46260373e-04,0.000159
5,3.06661619e-04,3.18939361e-04,0.040037
