model,E5A
arch,cpz
charset,sy
states,lstm
critic,True
n_features,10
n_windows,6
n_oos_months,72
sharpe_pooled,-0.5858
sharpe_mean_win,-0.8729
ev,0.2629
oos_r2,-0.1089
rms_alpha_pct,4.8751
max_alpha_pct,23.2279
critic_alpha_pct,0.5804
