window,L_plus,L_minus,rel_gap
0,2.38685694e-04,8.77232756e-04,2.675263
1,5.73404832e-04,1.93439319e-03,2.373521
2,1.11468439e-03,1.09032204e-03,0.022344
3,2.41224625e-04,2.61115795e-03,9.824591
4,2.29243378e-04,3.07653658e-03,12.420395
5,4.46461025e-04,4.54510329e-04,0.018029
6,1.99310176e-04,3.15821293e-04,0.584572
7,3.04547051e-04,5.27321221e-03,16.314934
8,5.08559449e-03,5.65191871e-03,0.111359
9,3.06074601e-03,4.01331205e-03,0.311220
10,5.06788609e-04,1.28771616e-02,24.409335
11,1.51431607e-03,1.51031546e-03,0.002649
