window,L_plus,L_minus,rel_gap
0,2.46742362e-04,8.86272406e-04,2.591894
1,5.74211183e-04,1.97074679e-03,2.432094
2,1.09872117e-03,1.07273040e-03,0.024229
3,2.47552467e-04,2.58353539e-03,9.436314
4,2.41833244e-04,3.00830393e-03,11.439580
5,4.42609802e-04,4.56174952e-04,0.030648
6,1.99480899e-04,3.08865332e-04,0.548345
7,3.13574681e-04,5.42156212e-03,16.289540
8,5.43358177e-03,5.34093007e-03,0.017347
9,3.20251100e-03,3.89828463e-03,0.217259
10,4.95448185e-04,1.24758622e-02,24.180963
11,1.45240256e-03,1.65204378e-03,0.137456
