window,L_plus,L_minus,rel_gap
0,2.40550973e-04,9.07947484e-04,2.774449
1,5.03752555e-04,2.16536853e-03,3.298477
2,1.08229043e-03,1.10891904e-03,0.024604
3,2.43690985e-04,2.69028079e-03,10.039722
4,2.29011872e-04,3.09010502e-03,12.493209
5,4.50105610e-04,4.58597526e-04,0.018866
6,2.06238488e-04,2.95256003e-04,0.431624
7,3.00429179e-04,5.18179871e-03,16.247987
8,4.84242849e-03,5.92591567e-03,0.223749
9,3.52892419e-03,3.51166516e-03,0.004915
10,4.47744591e-04,1.15112606e-02,24.709435
11,1.44071167e-03,1.60103641e-03,0.111282
