window,L_plus,L_minus,rel_gap
0,2.19731257e-04,9.31841612e-04,3.240824
1,4.97252739e-04,2.10562837e-03,3.234523
2,1.06248027e-03,1.14341720e-03,0.076177
3,2.37698390e-04,2.60020536e-03,9.939095
4,2.31354497e-04,3.07853823e-03,12.306585
5,4.62392927e-04,4.38841176e-04,0.053668
6,1.97130881e-04,3.11244803e-04,0.578874
7,3.01619875e-04,5.19550685e-03,16.225346
8,5.18845906e-03,5.54427411e-03,0.068578
9,3.10959388e-03,3.95667506e-03,0.272409
10,4.47747880e-04,1.16791520e-02,25.084215
11,1.52962829e-03,1.49512698e-03,0.023076
