window,L_plus,L_minus,rel_gap
0,2.39973495e-04,8.91340023e-04,2.714327
1,6.35437726e-04,1.79453811e-03,1.824098
2,1.10424985e-03,1.10067113e-03,0.003251
3,7.28566025e-04,7.77660636e-04,0.067385
4,8.31716228e-04,8.59905849e-04,0.033893
5,4.39018040e-04,4.62206575e-04,0.052819
6,2.00224662e-04,3.09637835e-04,0.546452
7,2.99535488e-04,5.18095354e-03,16.296627
8,5.19836787e-03,5.53402351e-03,0.064569
9,3.22355842e-03,3.82852112e-03,0.187669
10,4.56184091e-04,9.84160975e-03,20.573768
11,1.39180839e-03,1.63974927e-03,0.178143
