window,L_plus,L_minus,rel_gap
0,2.20004877e-04,9.24073334e-04,3.200240
1,5.04588243e-04,2.08634068e-03,3.134739
2,1.11090566e-03,1.09405362e-03,0.015403
3,2.35071944e-04,2.61944509e-03,10.143163
4,2.29335055e-04,3.10433446e-03,12.536241
5,4.34024405e-04,4.67508973e-04,0.077149
6,1.99764370e-04,3.15606187e-04,0.579892
7,3.07720329e-04,5.30129718e-03,16.227647
8,4.94388631e-03,5.80384722e-03,0.173944
9,3.33846430e-03,3.70422285e-03,0.109559
10,4.72571788e-04,1.23147620e-02,25.059029
11,1.39818236e-03,1.63258403e-03,0.167647
