window,L_plus,L_minus,rel_gap
0,2.39374014e-04,8.69980140e-04,2.634397
1,5.51386096e-04,1.97771797e-03,2.586811
2,1.08655076e-03,1.11852062e-03,0.029423
3,2.38130189e-04,2.53147027e-03,9.630615
4,2.33452884e-04,3.10109835e-03,12.283616
5,4.59478091e-04,4.41632903e-04,0.040407
6,1.98733891e-04,3.19282262e-04,0.606582
7,2.95902137e-04,5.17151598e-03,16.477116
8,5.02742687e-03,5.71374595e-03,0.136515
9,3.23415268e-03,3.81689169e-03,0.180183
10,5.16479718e-04,1.27361473e-02,23.659530
11,1.39409967e-03,1.63705542e-03,0.174274
