window,L_plus,L_minus,rel_gap
0,2.40721987e-04,8.58212356e-04,2.565160
1,5.15649735e-04,2.06193468e-03,2.998712
2,1.15248153e-03,1.05390942e-03,0.093530
3,2.40566820e-04,2.57136929e-03,9.688794
4,2.33562125e-04,3.03317560e-03,11.986590
5,4.65774996e-04,4.35657625e-04,0.069131
6,1.99940565e-04,3.06342990e-04,0.532170
7,2.97777646e-04,5.17495349e-03,16.378583
8,5.18197566e-03,5.55100152e-03,0.071213
9,3.04912031e-03,4.02686698e-03,0.320665
10,4.41051059e-04,1.10976622e-02,24.161854
11,1.50596816e-03,1.51867582e-03,0.008438
