model,E5A
arch,cpz
charset,sy
states,lstm
critic,True
n_features,11
n_windows,12
n_oos_months,144
sharpe_pooled,0.6326
sharpe_mean_win,0.3907
ev,0.4125
oos_r2,-0.2415
rms_alpha_pct,5.9455
max_alpha_pct,30.1292
critic_alpha_pct,2.5738
