window,L_plus,L_minus,rel_gap
0,2.39374014e-04,8.69980140e-04,2.634397
1,5.51386096e-04,1.97771797e-03,2.586811
2,1.08655076e-03,1.11852062e-03,0.029423
3,2.34444815e-04,2.54896074e-03,9.872327
4,2.29532467e-04,2.97500892e-03,11.961168
5,4.51864180e-04,4.49074316e-04,0.006212
6,1.97613976e-04,3.09927069e-04,0.568346
7,2.99145846e-04,5.16553363e-03,16.267609
8,5.34251938e-03,5.38716000e-03,0.008356
9,3.56938038e-03,3.46833421e-03,0.029134
10,4.56349197e-04,1.19213099e-02,25.123219
11,1.46775541e-03,1.55778008e-03,0.061335
