window,L_plus,L_minus,rel_gap
0,3.73230519e-04,3.91176727e-04,0.048083
1,1.07351539e-03,1.16328395e-03,0.083621
2,1.04516570e-03,1.16176228e-03,0.111558
3,7.50569103e-04,7.55065586e-04,0.005991
4,8.32659658e-04,8.58934014e-04,0.031555
5,4.36061906e-04,4.65325313e-04,0.067108
6,1.99577684e-04,3.15553101e-04,0.581104
7,3.03992245e-04,5.24535729e-03,16.254905
8,5.38792601e-03,5.34175662e-03,0.008643
9,3.56377452e-03,3.47385043e-03,0.025886
10,6.61280123e-04,8.03935900e-03,11.157267
11,1.64309226e-03,1.38877018e-03,0.183128
