window,L_plus,L_minus,rel_gap
0,2.25357304e-04,9.43597581e-04,3.187118
1,5.50450291e-04,2.02098629e-03,2.671515
2,1.01779227e-03,1.15650927e-03,0.136292
3,2.40825786e-04,2.61637336e-03,9.864174
4,2.38599721e-04,3.11511569e-03,12.055823
5,4.37084353e-04,4.61943040e-04,0.056874
6,1.95363391e-04,3.09677387e-04,0.585135
7,3.13218799e-04,5.41818654e-03,16.298408
8,5.37574338e-03,5.39857289e-03,0.004247
9,3.44324112e-03,3.63954506e-03,0.057011
10,4.77034308e-04,1.22995181e-02,24.783299
11,1.45202607e-03,1.65251642e-03,0.138076
