ticker,year,month,ret_monthly,size,st_rev,turnover,vol,bm,mom,roe,ag,ac,noa,nsi,gp,cei,ita,dist,oscore,investment,cbop,dy
AABS,2014,1,0.0,-2.5732309377618487,,2.8412942205365375,,,,0.12667457645512026,,,0.6072944878232663,,-0.1605412276132779,,,,0.12095621363509687,,,
ABOT,2014,1,-0.008894536213468918,1.2556284921426686,,-0.17922618892457579,,,,0.14854408000897973,,,-0.2670275082995864,,2.0924861317512176,,,,-1.1800786494856064,,,
ACPL,2014,1,-0.011498282268807336,0.9541482857276692,,-0.17070752433239797,,,,0.145568335202802,,,0.3510868544119871,,0.6214419515229336,,,,-0.9253064990426404,,,
ADAMS,2014,1,-0.18980708897937382,-0.5406152895811346,,-0.16587370478459057,,,,0.1242172351670148,,,0.03302713747953024,,-0.7420459322813486,,,,0.8256859824212429,,,
ADMM,2014,1,0.4472514916846515,0.640760445904629,,-0.17307337598207154,,,,,,,,,,,,,,,,
ADOS,2014,1,-0.08658246384770285,,,,,,,0.15868661969359718,,,-0.21027583486944135,,0.5144645454167198,,,,0.5559089512280208,,,
AGIL,2014,1,-0.010657193605683735,0.09526091026226421,,-0.1767880126386234,,,,,,,,,,,,,,,,
AGL,2014,1,0.04183109707971577,0.555672579094355,,-0.18181748036374398,,,,,,,,,,,,,,,,
AGSML,2014,1,0.15068493150684947,-0.5444599979881822,,-0.18226724874312866,,,,,,,,,,,,,,,,
AGTL,2014,1,-0.03963658616956178,0.7345542633892058,,-0.18135431513363814,,,,0.13062487667114833,,,-0.0068017195243534985,,0.926139739885092,,,,-1.4222485751225085,,,
AHCL,2014,1,0.05033707865168546,1.677176658369763,,-0.18013009390182402,,,,0.11427304104074712,,,0.45151863492677763,,-1.2274804791001912,,,,-0.9768465903349515,,,
AHTM,2014,1,0.2159638554216865,-0.6045199200865032,,-0.1814401333305714,,,,,,,,,,,,,,,,
AKGL,2014,1,0.3458401305057097,-1.1646449108403834,,-0.17589203356237298,,,,,,,,,,,,,,,,
AKZO,2014,1,0.02125270671264734,0.426514643555942,,-0.1344626864154903,,,,,,,,,,,,,,,,
ALNRS,2014,1,-0.015444015444015413,-0.4436164801721175,,-0.1792647850121123,,,,,,,,,,,,,,,,
ALTN,2014,1,-0.022831050228310557,0.5482132467679298,,-0.18255633973361862,,,,,,,,,,,,,,,,
AMTEX,2014,1,0.37869822485207116,-0.2792702159049453,,0.02745700059316603,,,,,,,,,,,,,,,,
ANL,2014,1,0.37815126050420167,0.30265008157104256,,0.38616214292163065,,,,,,,,,,,,,,,,
ANSM,2014,1,1.7104072398190042,-0.5029283413669178,,-0.17108301532989503,,,,,,,,,,,,,,,,
APL,2014,1,0.06482018851688065,1.5002751101594458,,-0.17274192949518907,,,,,,,-1.4682910678995975,,-0.26437447338021963,,,,0.6332849591698034,,,
ARPL,2014,1,0.3627770776188006,0.7607653028813036,,-0.12173739259958105,,,,,,,,,,,,,,,,
ARUJ,2014,1,0.06237558062375581,-1.3940414737664424,,-0.1570361088000234,,,,,,,,,,,,,,,,
ASHT,2014,1,0.09375,-0.9588245075074063,,-0.1809798193011845,,,,,,,,,,,,,,,,
ASL,2014,1,0.013844515441959526,0.1635201900240979,,-0.17136249081458174,,,,-7.828704870307154,,,-4.90744108452584,,-1.8467471713272823,,,,,,,
ASTM,2014,1,0.08742268041237122,-0.7707333691024423,,-0.173856102522741,,,,,,,,,,,,,,,,
ATBA,2014,1,-0.025615384615384595,0.7869983248013377,,-0.18162092694763335,,,,,,,,,,,,,,,,
ATLH,2014,1,0.05536912751677847,1.127470983480321,,-0.18172448849360273,,,,0.1420914307098912,,,-0.08671506860549415,,0.48723641727162287,,,,-0.40814188611225605,,,
ATRL,2014,1,0.04367506139548327,0.9331837955408485,,0.06750450775011047,,,,0.13790122673152155,,,-1.676197477420735,,-0.9650472084464894,,,,,,,
BAPL,2014,1,-0.08368708308065487,1.7394267531124126,,-0.18230680251662162,,,,,,,,,,,,,,,,
BATA,2014,1,0.16349025590339705,1.0595212596936923,,-0.18036466670187226,,,,0.14630558433358085,,,0.4763757738980076,,3.088039333499015,,,,-0.8977140566174776,,,
BCL,2014,1,0.17014547754585707,-0.7445640286795797,,-0.1807886942114244,,,,0.10876384804081748,,,1.8583690072798862,,-0.5571411200360316,,,,-0.9330818885535562,,,
BCML,2014,1,0.7202226345083491,,,,,,,,,,,,,,,,,,,
BERG,2014,1,-0.20830449826989617,-0.2125038165324481,,-0.15405380127053156,,,,0.11972105727676355,,,0.4260823636550406,,0.4833878366510609,,,,0.8404968179153748,,,
BGL,2014,1,0.45773195876288675,0.30644201343744765,,-0.17843987269618078,,,,,,,,,,,,,,,,
BHAT,2014,1,0.4188532555879494,-0.015130772726417089,,-0.18175974334258316,,,,0.1353587348407304,,,0.5945441454030048,,0.16204150429544562,,,,-0.5929179490289167,,,
BIFO,2014,1,0.05413612565445036,-0.05250824920501876,,-0.1800611957746276,,,,0.18030068697405432,,,0.5488111518077012,,1.584634352473868,,,,-0.42137721700332526,,,
BILF,2014,1,0.3259668508287292,-1.153470362427206,,-0.12884887321798558,,,,0.13693842028465703,,,-0.7727882974273809,,-0.6673749052268146,,,,0.9282967435763563,,,
BNWM,2014,1,0.06712328767123288,-0.49716322827003934,,-0.14522355978293966,,,,,,,,,,,,,,,,
BPBL,2014,1,0.7034068136272544,,,,,,,,,,-4.440947049922079,,-1.2274804791001912,,,,2.4787845512147024,,,
BPL,2014,1,0.0832524271844659,-0.3590153695034919,,-0.13578031469930965,,,,,,,,,,,,,,,,
BTL,2014,1,0.33632510595861365,-0.12155241541670853,,-0.16071018168858142,,,,0.13005497282042344,,,0.3192104337453846,,-0.13036373823122588,,,,-0.29324659175131207,,,
BUXL,2014,1,0.2360248447204969,-1.8618373004836966,,-0.13683115851477515,,,,0.10917291176079671,,,0.5438740804095341,,0.16669101207180678,,,,1.7271455048065194,,,
BWCL,2014,1,0.007042253521126751,1.2918907406266542,,-0.18252938677345615,,,,,,,,,,,,,,,,
BWHL,2014,1,0.07742181540808546,-0.4895145622480211,,-0.18168260193422148,,,,0.11469059232080878,,,0.5380151272278729,,-0.5385440967450026,,,,-0.8380038887256268,,,
BYCO,2014,1,0.011223344556677839,1.3575775072816902,,-0.17491748915585528,,,,,,,,,,,,,,,,
CCM,2014,1,0.14851485148514842,-0.26803204017416754,,-0.18139547062114886,,,,0.1182664371614854,,,0.6052197916437492,,-0.5418257850707013,,,,-0.6308899049487506,,,
CEPB,2014,1,0.2876955903271692,1.1347621568887694,,-0.16276853457895757,,,,0.14128450511879828,,,-0.6459119768250436,,-0.15364452688938626,,,,0.2880768244375067,,,
CFL,2014,1,0.18999999999999995,-0.5973704492258299,,-0.17771990537158322,,,,,,,,,,,,,,,,
CHAS,2014,1,0.12745098039215685,-0.856553223393127,,-0.14837921633836093,,,,,,,,,,,,,,,,
CHBL,2014,1,1.0907335907335907,-0.2660447450162372,,0.0059413252736895674,,,,,,,,,,,,,,,,
CHCC,2014,1,0.216147890662032,0.5659288849229634,,-0.03908733381631867,,,,0.16610880602096664,,,0.12944755747765932,,1.1901266755998068,,,,-0.39841054526442526,,,
CLOV,2014,1,0.7266368214885282,1.357796793617212,,-0.18145854216754045,,,,,,,,,,,,,,,,
COLG,2014,1,0.05438066465256797,2.325490176586621,,-0.18255633973361862,,,,0.14129297094960255,,,0.26645036320606086,,2.2238023376612204,,,,-0.9099045891840346,,,
CPPL,2014,1,0.39330543933054396,-0.09460380480489888,,-0.05505963678595589,,,,,,,,,,,,,,,,
