symbol,year,field,our_normalized,external,ratio,source
LUCK,2024,TL,86256813,346997774.0,0.249,sarmaaya
IGIHL,2024,Eq,15811653,63724910.0,0.248,sarmaaya
LUCK,2025,COGS,-81827060.0,329963662.0,-0.248,sarmaaya
PRET,2023,PAT,1042643.34,4310377.0,0.242,dps
UNITY,2023,PAT,567458,2436418.0,0.233,dps
EFUG,2025,TA,85626258,375265931.0,0.228,sarmaaya
AVN,2024,TL,3055355,13500971.0,0.226,sarmaaya
ALTN,2024,Eq,3749288.0,16594307.0,0.226,sarmaaya
EFUG,2024,TA,72398872,323898937.0,0.224,sarmaaya
HUBC,2025,TA,91533187,414722187.0,0.221,sarmaaya
TPL,2024,TA,6671273.685,30278257.0,0.220,sarmaaya
AVN,2024,CA,4609265,20928143.0,0.220,sarmaaya
AHCL,2024,TL,4234592.812,19905346.0,0.213,sarmaaya
DLL,2024,TA,7849129,36952908.0,0.212,sarmaaya
HTL,2025,Sales,6988836.0,33042903.0,0.212,dps
KTML,2025,CA,18978912,90130449.0,0.211,sarmaaya
PICT,2025,PAT,-134023,649096.0,-0.206,dps
SMTM,2021,PAT,-18694.761,91152.0,-0.205,dps
ABL,2024,PAT,8787405,43115904.0,0.204,dps
SRVI,2024,TA,22437441,114556952.0,0.196,sarmaaya
HMB,2023,PAT,4720817,24383818.0,0.194,dps
AVN,2025,Eq,2881939,14922090.0,0.193,sarmaaya
KAPCO,2023,Sales,25435312,136599624.0,0.186,dps
GGL,2024,TA,3938108.0,21522348.0,0.183,sarmaaya
HMB,2022,PAT,2604686,14260723.0,0.183,dps
FASM,2025,PAT,-269267.085,1488896.0,-0.181,dps
MSOT,2024,PAT,-470030,2651189.0,-0.177,dps
SHCM,2025,PAT,-16572.381,93712.0,-0.177,dps
IML,2025,PAT,26663,151368.0,0.176,sarmaaya
MEHT,2023,PAT,1201948.807,6903397.0,0.174,dps
EFUG,2025,TL,56869219,340440872.0,0.167,sarmaaya
KTML,2025,PAT,2749816,16478710.0,0.167,sarmaaya
HTL,2024,Sales,3999510.0,24016482.0,0.167,dps
PACE,2025,PAT,-87324,526690.0,-0.166,dps
FRCL,2025,Sales,726695,4390409.0,0.166,dps
SRVI,2025,TA,22685497,138800225.0,0.163,sarmaaya
EFUG,2024,TL,46961030,292947238.0,0.160,sarmaaya
SRVI,2024,TL,13947260,87144760.0,0.160,sarmaaya
TREET,2023,PAT,133453,861830.0,0.155,dps
ALNRS,2024,PAT,-45083,295344.0,-0.153,dps
ELCM,2023,PAT,820.081,5456.0,0.150,dps
SURC,2023,PAT,-412278,2790531.0,-0.148,dps
SRVI,2025,TL,14190295,96936362.0,0.146,sarmaaya
PIBTL,2025,PAT,-257930,1764987.0,-0.146,dps
PRL,2023,PAT,1824967,12573450.0,0.145,dps
NETSOL,2024,CA,1828951,12622674.0,0.145,sarmaaya
SEARL,2023,PAT,302137,2090717.0,0.145,dps
KOIL,2025,TL,59296.65,413180.0,0.144,sarmaaya
PTC,2025,PAT,1382254,-9746117.0,-0.142,sarmaaya
NPL,2025,PAT,-746782,5389574.0,-0.139,dps
KOIL,2024,TL,55496.111,409179.0,0.136,sarmaaya
PMRS,2025,TL,4004209,30042505.0,0.133,sarmaaya
IGIHL,2025,TA,18856461.0,148504704.0,0.127,sarmaaya
PKGS,2025,TL,23688083,187358245.0,0.126,sarmaaya
PMRS,2025,TA,5289618,41850405.0,0.126,sarmaaya
IGIHL,2024,TA,16125857,129588330.0,0.124,sarmaaya
PMRS,2025,CA,1718998,14012020.0,0.123,sarmaaya
EFUG,2023,PAT,402276,3281611.0,0.123,dps
DSIL,2024,PAT,-3456.276,28602.0,-0.121,dps
ALTN,2024,TA,3887009.0,32170634.0,0.121,sarmaaya
ENGRO,2022,PAT,2428012.0,21196420.0,0.115,dps
SPWL,2025,PAT,-38447.596,336104.0,-0.114,dps
PHDL,2021,Sales,28226,249724.0,0.113,dps
GATI,2024,PAT,-204358,1827244.0,-0.112,dps
SRVI,2024,CA,6835796,61946327.0,0.110,sarmaaya
BTL,2025,PAT,-96881.598,921041.0,-0.105,dps
PMRS,2024,TA,4096468,39578394.0,0.104,sarmaaya
LPL,2024,PAT,464790,4577767.0,0.102,dps
NPL,2023,Sales,2306964,23068964.0,0.100,dps
PAKT,2022,Sales,9486223,94862238.0,0.100,dps
FPJM,2025,TL,204495.205,2204495.0,0.093,sarmaaya
PMRS,2024,TL,2228499,24248634.0,0.092,sarmaaya
CLVL,2025,CA,76092.198,846018.0,0.090,sarmaaya
HUBC,2025,TL,15280631,170800282.0,0.089,sarmaaya
