category,symbol,year,field,our,external,ratio,note
CONSOLIDATION-DIFF,CLVL,2025,PAT,19105.0,158540.0,0.121,
CONSOLIDATION-DIFF,KTML,2024,TA,51853603,151328038.0,0.343,
CONSOLIDATION-DIFF,KTML,2024,TL,22621047,69086834.0,0.327,
CONSOLIDATION-DIFF,KTML,2024,CA,17882569,60336524.0,0.296,
CONSOLIDATION-DIFF,WTL,2024,CA,11787587.0,3101144.0,3.801,
CONSOLIDATION-DIFF,FASM,2025,PAT,1488896.0,-269267.0,-5.529,
CONSOLIDATION-DIFF,SRVI,2025,TA,22685497,138800225.0,0.163,
CONSOLIDATION-DIFF,SRVI,2025,TL,14190295,96936362.0,0.146,
CONSOLIDATION-DIFF,SRVI,2025,Eq,8495202,23204825.0,0.366,
CONSOLIDATION-DIFF,SRVI,2025,CA,7194053,80664178.0,0.089,
CONSOLIDATION-DIFF,SRVI,2025,Sales,6687003,148449359.0,0.045,
CONSOLIDATION-DIFF,SRVI,2025,COGS,-6039576,115678919.0,0.052,
CONSOLIDATION-DIFF,SRVI,2025,PAT,710279,8270245.000000001,0.086,
CONSOLIDATION-DIFF,CRTM,2025,PAT,560814.0,-287431.0,-1.951,
CONSOLIDATION-DIFF,KEL,2022,TA,1060128079,200387209.0,5.290,
CONSOLIDATION-DIFF,KEL,2022,TL,809956361,200387209.0,4.042,
CONSOLIDATION-DIFF,KEL,2022,CA,550813128,200387209.0,2.749,
CONSOLIDATION-DIFF,PTC,2025,PAT,1382254,-9746117.0,-0.142,
CONSOLIDATION-DIFF,INIL,2024,TL,13209980,34676239.0,0.381,
CONSOLIDATION-DIFF,INIL,2024,CA,15977235,40073749.0,0.399,
SALES-JOINT-REVIEW,HTL,2024,Sales,3999510.0,24016482.0,0.167,
CONSOLIDATION-DIFF,DYNO,2024,CA,45.438,4543828.0,0.000,
CONSOLIDATION-DIFF,PCAL,2025,PAT,208858.0,-280601.0,-0.744,
CONSOLIDATION-DIFF,ALTN,2024,TA,3887009.0,32170634.0,0.121,
CONSOLIDATION-DIFF,ALTN,2024,Eq,3749288.0,16594307.0,0.226,
CONSOLIDATION-DIFF,ALTN,2024,CA,329670.0,21679881.0,0.015,
CONSOLIDATION-DIFF,SIEM,2025,PAT,829413,105326.0,7.875,
CONSOLIDATION-DIFF,LUCK,2024,TA,234018090,661041931.0,0.354,
CONSOLIDATION-DIFF,LUCK,2024,TL,86256813,346997774.0,0.249,
CONSOLIDATION-DIFF,LUCK,2024,CA,68452084,275132977.0,0.249,
CONSOLIDATION-DIFF,GLPL,2025,PAT,101203.0,-25950.0,-3.900,
CONSOLIDATION-DIFF,ASL,2025,PAT,1146113.0,-1351854.0,-0.848,
CONSOLIDATION-DIFF,THALL,2025,PAT,2557725,7255552.0,0.353,
CONSOLIDATION-DIFF,BNWM,2025,PAT,306214.0,-98425.0,-3.111,
CONSOLIDATION-DIFF,INIL,2025,TA,29919000,77791632.0,0.385,
CONSOLIDATION-DIFF,INIL,2025,TL,10260000,35071953.0,0.293,
CONSOLIDATION-DIFF,INIL,2025,CA,13502000,41220825.0,0.328,
CONSOLIDATION-DIFF,INIL,2025,Sales,25096000,85899663.0,0.292,
CONSOLIDATION-DIFF,INIL,2025,COGS,-21949000,79886886.0,0.275,
CONSOLIDATION-DIFF,NPL,2025,PAT,5389574.0,-746782.0,-7.217,
UNRESOLVED-UNIT,ADAMS,2019,,,,,no unit anchor
UNRESOLVED-UNIT,AEL,2013,,,,,no unit anchor
UNRESOLVED-UNIT,AEL,2014,,,,,no unit anchor
UNRESOLVED-UNIT,AEL,2015,,,,,no unit anchor
UNRESOLVED-UNIT,AEL,2016,,,,,no unit anchor
UNRESOLVED-UNIT,AEL,2017,,,,,no unit anchor
UNRESOLVED-UNIT,AEL,2018,,,,,no unit anchor
UNRESOLVED-UNIT,AEL,2019,,,,,no unit anchor
UNRESOLVED-UNIT,AEL,2020,,,,,no unit anchor
UNRESOLVED-UNIT,AEL,2021,,,,,no unit anchor
UNRESOLVED-UNIT,AEL,2022,,,,,no unit anchor
UNRESOLVED-UNIT,AGL,2014,,,,,no unit anchor
UNRESOLVED-UNIT,AGL,2015,,,,,no unit anchor
UNRESOLVED-UNIT,AGL,2017,,,,,no unit anchor
UNRESOLVED-UNIT,AGL,2020,,,,,no unit anchor
UNRESOLVED-UNIT,AKDCL,2014,,,,,no unit anchor
UNRESOLVED-UNIT,AKDCL,2015,,,,,no unit anchor
UNRESOLVED-UNIT,AKDCL,2019,,,,,no unit anchor
UNRESOLVED-UNIT,AKDCL,2020,,,,,no unit anchor
UNRESOLVED-UNIT,ARM,2014,,,,,no unit anchor
UNRESOLVED-UNIT,ARM,2015,,,,,no unit anchor
UNRESOLVED-UNIT,ARPAK,2016,,,,,no unit anchor
UNRESOLVED-UNIT,ARPAK,2019,,,,,no unit anchor
UNRESOLVED-UNIT,ARPAK,2024,,,,,no unit anchor
UNRESOLVED-UNIT,AWWAL,2017,,,,,no unit anchor
UNRESOLVED-UNIT,AWWAL,2018,,,,,no unit anchor
UNRESOLVED-UNIT,BIFO,2013,,,,,no unit anchor
UNRESOLVED-UNIT,BIFO,2014,,,,,no unit anchor
UNRESOLVED-UNIT,BIFO,2015,,,,,no unit anchor
UNRESOLVED-UNIT,BIFO,2016,,,,,no unit anchor
UNRESOLVED-UNIT,BIFO,2017,,,,,no unit anchor
UNRESOLVED-UNIT,BIFO,2018,,,,,no unit anchor
UNRESOLVED-UNIT,BIFO,2020,,,,,no unit anchor
UNRESOLVED-UNIT,CTM,2015,,,,,no unit anchor
UNRESOLVED-UNIT,EXIDE,2014,,,,,no unit anchor
UNRESOLVED-UNIT,EXIDE,2016,,,,,no unit anchor
UNRESOLVED-UNIT,EXIDE,2017,,,,,no unit anchor
UNRESOLVED-UNIT,FRSM,2019,,,,,no unit anchor
UNRESOLVED-UNIT,FUDLM,2014,,,,,no unit anchor
UNRESOLVED-UNIT,FUDLM,2015,,,,,no unit anchor
UNRESOLVED-UNIT,FUDLM,2019,,,,,no unit anchor
UNRESOLVED-UNIT,FUDLM,2020,,,,,no unit anchor
UNRESOLVED-UNIT,FUDLM,2022,,,,,no unit anchor
UNRESOLVED-UNIT,HUSI,2014,,,,,no unit anchor
UNRESOLVED-UNIT,KASBM,2014,,,,,no unit anchor
UNRESOLVED-UNIT,KASBM,2015,,,,,no unit anchor
UNRESOLVED-UNIT,KASBM,2018,,,,,no unit anchor
UNRESOLVED-UNIT,KCL,2014,,,,,no unit anchor
UNRESOLVED-UNIT,KHYT,2015,,,,,no unit anchor
UNRESOLVED-UNIT,KHYT,2017,,,,,no unit anchor
UNRESOLVED-UNIT,KHYT,2019,,,,,no unit anchor
UNRESOLVED-UNIT,KSTM,2017,,,,,no unit anchor
UNRESOLVED-UNIT,KSTM,2018,,,,,no unit anchor
UNRESOLVED-UNIT,LMSM,2014,,,,,no unit anchor
UNRESOLVED-UNIT,LMSM,2017,,,,,no unit anchor
UNRESOLVED-UNIT,LMSM,2019,,,,,no unit anchor
UNRESOLVED-UNIT,LMSM,2020,,,,,no unit anchor
UNRESOLVED-UNIT,MACFL,2017,,,,,no unit anchor
UNRESOLVED-UNIT,MUGHAL,2020,,,,,no unit anchor
UNRESOLVED-UNIT,MUGHAL,2021,,,,,no unit anchor
UNRESOLVED-UNIT,NCML,2014,,,,,no unit anchor
UNRESOLVED-UNIT,NRSL,2013,,,,,no unit anchor
UNRESOLVED-UNIT,NRSL,2015,,,,,no unit anchor
UNRESOLVED-UNIT,PAKMI,2014,,,,,no unit anchor
UNRESOLVED-UNIT,PAKMI,2015,,,,,no unit anchor
UNRESOLVED-UNIT,PAKMI,2017,,,,,no unit anchor
UNRESOLVED-UNIT,PAKMI,2018,,,,,no unit anchor
UNRESOLVED-UNIT,PAKMI,2022,,,,,no unit anchor
