window,L_plus,L_minus,rel_gap
0,2.37374814e-04,8.73137731e-04,2.678308
1,5.40467328e-04,2.00437661e-03,2.708599
2,1.10699690e-03,1.09793525e-03,0.008253
3,2.45856529e-04,2.58347415e-03,9.508056
4,2.31729660e-04,3.07719805e-03,12.279258
5,4.57296555e-04,4.43736062e-04,0.030560
6,2.00521914e-04,2.95730657e-04,0.474805
7,3.01597727e-04,5.25580160e-03,16.426529
8,5.42896567e-03,5.30107087e-03,0.024126
9,3.61056835e-03,3.42806662e-03,0.053238
10,4.95055574e-04,1.26355030e-02,24.523403
11,1.38280133e-03,1.64972083e-03,0.193028
