window,L_plus,L_minus,rel_gap
0,2.45015428e-04,8.81921675e-04,2.599454
1,5.53500140e-04,2.01953738e-03,2.648666
2,1.04736432e-03,1.12490298e-03,0.074032
3,2.45589996e-04,2.54447083e-03,9.360645
4,2.35724190e-04,3.07973870e-03,12.065009
5,4.57352813e-04,4.41461540e-04,0.035997
6,1.99194590e-04,3.16800870e-04,0.590409
7,3.10776610e-04,5.36320964e-03,16.257443
8,4.90168994e-03,5.89682302e-03,0.203018
9,3.56389070e-03,3.51742492e-03,0.013210
10,5.13645471e-04,1.28979757e-02,24.110658
11,1.17641536e-03,1.99660636e-03,0.697195
