window,L_plus,L_minus,rel_gap
0,2.43344082e-04,8.95510078e-04,2.680016
1,5.49005752e-04,2.03155377e-03,2.700423
2,1.05305540e-03,1.11896975e-03,0.062593
3,2.48669880e-04,2.50247493e-03,9.063442
4,2.38951310e-04,3.01670376e-03,11.624763
5,4.56117035e-04,4.42662713e-04,0.030394
6,1.96838460e-04,3.08702874e-04,0.568306
7,3.12441436e-04,5.38476789e-03,16.234487
8,4.57923254e-03,6.26464235e-03,0.368055
9,3.49378143e-03,3.58779752e-03,0.026910
10,4.93986066e-04,1.25930691e-02,24.492762
11,1.53230259e-03,1.56797259e-03,0.023279
