window,L_plus,L_minus,rel_gap
0,2.35431624e-04,8.86165653e-04,2.764004
1,5.30202873e-04,2.02809344e-03,2.825127
2,1.09022914e-03,1.11478160e-03,0.022520
3,2.35671949e-04,2.58350116e-03,9.962277
4,2.33514962e-04,3.04132816e-03,12.024125
5,4.56245471e-04,4.44756617e-04,0.025832
6,1.98280148e-04,3.05112102e-04,0.538793
7,3.00131767e-04,5.17764688e-03,16.251246
8,5.14739146e-03,5.58697572e-03,0.085399
9,3.36230570e-03,3.67905875e-03,0.094207
10,4.39892901e-04,1.08962199e-02,23.770165
11,1.56428386e-03,1.46153290e-03,0.070304
