name,charset,n_features,n_windows,n_oos_months,sharpe_pooled,ev,rms_alpha_pct,max_alpha_pct
lin11,sy,11,12,144,0.3744,0.1409,6.8525,35.4931
lin20,all,20,12,144,0.7129,0.2093,13.1404,70.9349
