pair,sharpe_sdf,sharpe_bench,diff,ci_lo,ci_hi,zero_excluded
E2 vs FF5,0.3628,0.8158,-0.4530,-1.3491,0.5603,0
E2 vs q-factor,0.3628,0.8848,-0.5220,-1.2418,0.1335,0
E2 vs LASSO,0.3628,0.8352,-0.4724,-1.2066,-0.0354,1
E2 vs PCA(5),0.3628,0.6071,-0.2443,-0.9387,0.3094,0
E2 vs Market,0.3628,0.3273,0.0355,-0.5286,0.4754,0
