pair,sharpe_sdf,sharpe_bench,diff,ci_lo,ci_hi,zero_excluded
E2 vs FF5,0.3628,0.8158,-0.4530,-1.3790,0.5109,0
E2 vs q-factor,0.3628,0.8848,-0.5220,-1.2389,0.0830,0
E2 vs LASSO,0.3628,0.8352,-0.4724,-1.1432,-0.0481,1
E2 vs PCA(5),0.3628,0.6071,-0.2443,-0.8054,0.2757,0
E2 vs Market,0.3628,0.3273,0.0355,-0.5100,0.5929,0
