window,L_plus,L_minus,rel_gap
0,3.18351027e-04,3.18712264e-04,0.001135
1,3.47631227e-04,2.28636735e-03,5.576991
2,4.03806742e-04,3.56524531e-03,7.829088
3,3.78996832e-04,4.21707099e-03,10.126929
4,4.10049892e-04,1.29276523e-02,30.527023
5,2.69307429e-03,2.88998662e-03,0.073118
